id,value
id_0,32.93501451369172
id_1,14.10537713347178
id_2,8.88496268066745
id_3,22.168090584359355
id_4,28.726651974441026
id_5,93.50903307641448
id_6,27.769424015470786
id_7,35.60696402694235
id_8,25.12353054046788
id_9,18.651048487819995
id_10,32.33378413831342
id_11,36.06622630422985
id_12,38.07223972072116
id_13,14.461039872137784
id_14,26.595936710971852
id_15,45.743622047345205
id_16,27.263830209723707
id_17,63.55906306207333
id_18,23.946314994569168
id_19,10.2164095870208
id_20,31.206422399424895
id_21,27.160141577543882
id_22,45.89590343358725
id_23,38.80328881863604
id_24,14.335606370439969
id_25,16.010563804162615
id_26,44.772620213120746
id_27,31.865099883806
id_28,54.696929905896496
id_29,19.305720788550897
id_30,16.49910240515062
id_31,39.303935367992125
id_32,36.8498897142227
id_33,30.85077704598309
id_34,56.2965759424622
id_35,38.12827166973496
id_36,16.70008086060233
id_37,42.334466220438344
id_38,21.595502748929373
id_39,2.401330959568597
id_40,28.394465042065793
id_41,10.587806803725567
id_42,50.55328523347322
id_43,24.679053983319946
id_44,63.550986275775756
id_45,36.04597932949226
id_46,37.44552253714681
id_47,26.58959240510764
id_48,27.80665460015777
id_49,59.92120896563526
id_50,26.22850744162002
id_51,53.52837967965114
id_52,26.908682871338797
id_53,27.85443704657042
id_54,20.457424150677717
id_55,37.96270815290417
id_56,39.69419703339602
id_57,30.21212462266393
id_58,28.567564120728687
id_59,12.61756930177539
id_60,63.898089590964176
id_61,84.47241986373814
id_62,41.33809781094599
id_63,22.944206385352594
id_64,14.594037769706432
id_65,42.162074578687026
id_66,35.37199199802787
id_67,12.852410602457221
id_68,53.33333132517534
id_69,6.036449018925651
id_70,20.78704694485002
id_71,18.050495876570672
id_72,29.582143397856274
id_73,14.329459923278389
id_74,55.373845289696895
id_75,64.88336753381388
id_76,11.163828349012045
id_77,42.47706731018184
id_78,76.12138378563074
id_79,45.92285214527346
id_80,57.48266139760702
id_81,26.91156096922677
id_82,14.371411660329105
id_83,49.847969752138525
id_84,13.542056336919678
id_85,12.290015807692654
id_86,29.202324846446075
id_87,92.09075363498805
id_88,28.473843863193544
id_89,44.451154962473886
id_90,14.380000545172898
id_91,60.204803229133944
id_92,54.62497080407781
id_93,7.525375640760868
id_94,28.203781809058032
id_95,25.801969747429656
id_96,23.076613923040412
id_97,4.170991387430945
id_98,16.24655934861221
id_99,37.460461692029455
id_100,26.81573161386481
id_101,48.27837141396951
id_102,27.323054092127524
id_103,37.2649844007187
id_104,30.52868119202878
id_105,23.734859338476724
id_106,21.724936083486902
id_107,39.82120728308644
id_108,11.883036841094587
id_109,62.25675520329803
id_110,27.609717512028507
id_111,68.96991646942172
id_112,23.084557128924214
id_113,27.782476959527177
id_114,31.621426812642746
id_115,40.749164112321175
id_116,41.95335846389594
id_117,21.554589190284577
id_118,29.62271097573273
id_119,49.25156947575857
id_120,24.842537539994968
id_121,33.2435068092932
id_122,81.5521421566637
id_123,8.14042673470815
id_124,31.472024788744775
id_125,7.658567496746327
id_126,32.41613895767411
id_127,13.951406659007034
id_128,24.93187433359155
id_129,47.2971274143087
id_130,9.312887632547286
id_131,46.30607584382731
id_132,20.508831857310053
id_133,6.486023981323072
id_134,24.374174885018103
id_135,33.73970334914566
id_136,73.18490752410854
id_137,87.80709707978934
id_138,27.798380085560257
id_139,54.668462197478625
id_140,77.34928847267022
id_141,19.0401418104773
id_142,38.67227197519891
id_143,28.09817385734274
id_144,25.35208410149583
id_145,12.720630661780934
id_146,31.900579652413192
id_147,45.32253610374719
id_148,30.763330389599687
id_149,17.58581081561045
id_150,34.429805694558176
id_151,41.85992924406055
id_152,57.18733452226754
id_153,27.43958541802065
id_154,11.014892751214022
id_155,54.863212932152564
id_156,14.723561755954124
id_157,22.842896017960975
id_158,44.48252239510422
id_159,25.64287468973602
id_160,16.673530411686837
id_161,99.60141363123707
id_162,68.78503570224969
id_163,44.690678648144015
id_164,37.49963953801051
id_165,37.466679920145786
id_166,60.96671275039906
id_167,51.13184415212482
id_168,11.256305418611479
id_169,27.455724627316723
id_170,29.630422637786726
id_171,30.30125475068732
id_172,30.109962855080504
id_173,44.30565906250853
id_174,79.57885509832572
id_175,52.2330243378269
id_176,22.536764259875405
id_177,28.290526244830115
id_178,52.5533792468317
id_179,26.2348182348434
id_180,14.69034869978665
id_181,37.33557789904658
id_182,24.77851330527835
id_183,37.12627212998555
id_184,16.239172932569446
id_185,40.91974532538508
id_186,35.531103443921005
id_187,44.89223046243602
id_188,68.77321523534911
id_189,63.18718272838715
id_190,9.282386833497172
id_191,25.253662505122215
id_192,20.984737888818472
id_193,28.63805041001454
id_194,29.332374766338773
id_195,14.20135422303113
id_196,12.50545601428363
id_197,16.394375105428526
id_198,25.868021784228848
id_199,15.269776302361496
id_200,9.39767070604783
id_201,27.331812638943973
id_202,42.88322322070791
id_203,72.3526379678651
id_204,6.739853075122255
id_205,17.991268240288612
id_206,50.38356130768872
id_207,53.98069184695398
id_208,22.734191857627692
id_209,28.37093187652052
id_210,48.23837118313654
id_211,37.81195330480212
id_212,36.483174362460026
id_213,7.4351065736743
id_214,21.137953670832207
id_215,4.641529175997225
id_216,57.11331673813981
id_217,8.51320040784434
id_218,36.82275545012124
id_219,90.38099012167001
id_220,51.034028335267834
id_221,20.76838804412406
id_222,38.21820023868521
id_223,95.38533117653253
id_224,30.83615941166553
id_225,18.131223862927193
id_226,14.636055950177118
id_227,48.27729084553057
id_228,33.01948827470203
id_229,28.274307981570857
id_230,2.8364277270198692
id_231,29.48258297632455
id_232,8.67524506445027
id_233,33.35654851132123
id_234,62.54589477232768
id_235,18.595641201526266
id_236,18.513198514299404
id_237,15.733016306904236
id_238,14.366792499257578
id_239,27.714159420629166
id_240,30.821625928333273
id_241,74.38578272837887
id_242,34.2435951349351
id_243,28.986197001338528
id_244,58.54170302904061
id_245,48.74536175351817
id_246,43.77107520027642
id_247,43.49714216149408
id_248,18.617808851465185
id_249,8.482014610249246
id_250,14.025432905539217
id_251,42.10312678213583
id_252,15.928477513795686
id_253,21.13064305272702
id_254,20.416414433999726
id_255,33.65842084727537
id_256,37.24083214816611
id_257,3.244650805121529
id_258,31.354228102156497
id_259,38.595382953957625
